Год,Google Scholar (тыс.),eLibrary/РИНЦ,CNKI (тыс.),DSS Google Scholar (%),DSS eLibrary (%),DSS CNKI (%),Ключевые события
2019,12.4,47,8.9,8,2,28,Базовый уровень; до пандемии
2020,15.8,63,12.1,11,3,32,Пандемия COVID-19; рост интереса к соцмедиа
2021,18.2,71,14.5,14,4,35,Пик интереса к соцмедиа; цифровая трансформация
2022,19.5,78,16.2,15,3,38,Информационная безопасность; стабилизация
2023,21.1,85,18.4,16,4,40,Массовое внедрение AI в медиааналитику
2024,19.8,92,17.9,14,3,37,Стабилизация; гос. медиамониторинг
2025*,8.4,41,7.6,13,5,33,Неполный год; прогнозная аналитика
ИТОГО,115.2,477,95.6,~,~,~,Суммарно за 7 лет
